state,year,population,land_area
Alabama,2010,4785437,52420
Alabama,2011,4799069,52420
Alabama,2012,4815588,52420
Alabama,2013,4830081,52420
Alabama,2014,4841799,52420
Alabama,2015,4852347,52420
Alaska,2010,713910,665384
Alaska,2011,722128,665384
Alaska,2012,730443,665384
Alaska,2013,737068,665384
Alaska,2014,736283,665384
Alaska,2015,737498,665384
Arizona,2010,6407172,113990
Arizona,2011,6472643,113990
Arizona,2012,6554978,113990
Arizona,2013,6632764,113990
Arizona,2014,6730413,113990
Arizona,2015,6829676,113990
Arkansas,2010,2921964,53179
Arkansas,2011,2940667,53179
Arkansas,2012,2952164,53179
Arkansas,2013,2959400,53179
Arkansas,2014,2967392,53179
Arkansas,2015,2978048,53179
California,2010,37319502,163695
California,2011,37638369,163695
California,2012,37948800,163695
California,2013,38260787,163695
California,2014,38596972,163695
California,2015,38918045,163695
Colorado,2010,5047349,104094
Colorado,2011,5121108,104094
Colorado,2012,5192647,104094
Colorado,2013,5269035,104094
Colorado,2014,5350101,104094
Colorado,2015,5450623,104094
Connecticut,2010,3579114,5543
Connecticut,2011,3588283,5543
Connecticut,2012,3594547,5543
Connecticut,2013,3594841,5543
Connecticut,2014,3594524,5543
Connecticut,2015,3587122,5543
Delaware,2010,899593,2489
Delaware,2011,907381,2489
Delaware,2012,915179,2489
Delaware,2013,923576,2489
Delaware,2014,932487,2489
Delaware,2015,941252,2489
District of Columbia,2010,605226,68
District of Columbia,2011,619800,68
District of Columbia,2012,634924,68
District of Columbia,2013,650581,68
District of Columbia,2014,662328,68
District of Columbia,2015,675400,68
Florida,2010,18845537,65758
Florida,2011,19053237,65758
Florida,2012,19297822,65758
Florida,2013,19545621,65758
Florida,2014,19845911,65758
Florida,2015,20209042,65758
Georgia,2010,9711881,59425
Georgia,2011,9802431,59425
Georgia,2012,9901430,59425
Georgia,2013,9972479,59425
Georgia,2014,10067278,59425
Georgia,2015,10178447,59425
Hawaii,2010,1363963,10932
Hawaii,2011,1379329,10932
Hawaii,2012,1394804,10932
Hawaii,2013,1408243,10932
Hawaii,2014,1414538,10932
Hawaii,2015,1422052,10932
Idaho,2010,1570746,83569
Idaho,2011,1583910,83569
Idaho,2012,1595324,83569
Idaho,2013,1611206,83569
Idaho,2014,1631112,83569
Idaho,2015,1651059,83569
Illinois,2010,12840503,57914
Illinois,2011,12867454,57914
Illinois,2012,12882510,57914
Illinois,2013,12895129,57914
Illinois,2014,12884493,57914
Illinois,2015,12858913,57914
Indiana,2010,6490432,36420
Indiana,2011,6516528,36420
Indiana,2012,6537703,36420
Indiana,2013,6568713,36420
Indiana,2014,6593644,36420
Indiana,2015,6608422,36420
Iowa,2010,3050745,56273
Iowa,2011,3066336,56273
Iowa,2012,3076190,56273
Iowa,2013,3092997,56273
Iowa,2014,3109350,56273
Iowa,2015,3120960,56273
Kansas,2010,2858190,82278
Kansas,2011,2869225,82278
Kansas,2012,2885257,82278
Kansas,2013,2893212,82278
Kansas,2014,2900475,82278
Kansas,2015,2909011,82278
Kentucky,2010,4348181,40408
Kentucky,2011,4369821,40408
Kentucky,2012,4386346,40408
Kentucky,2013,4404659,40408
Kentucky,2014,4414349,40408
Kentucky,2015,4425976,40408
Louisiana,2010,4544532,52378
Louisiana,2011,4575625,52378
Louisiana,2012,4600972,52378
Louisiana,2013,4624527,52378
Louisiana,2014,4644013,52378
Louisiana,2015,4664628,52378
Maine,2010,1327629,35380
Maine,2011,1328284,35380
Maine,2012,1327729,35380
Maine,2013,1328009,35380
Maine,2014,1330513,35380
Maine,2015,1328262,35380
Maryland,2010,5788645,12406
Maryland,2011,5839419,12406
Maryland,2012,5886992,12406
Maryland,2013,5923188,12406
