id,mpg,cylinders,displacement,horsepower,weight,acceleration,model.year,origin,car.name
1,18,8,307,130,3504,12,70,USA,chevrolet chevelle malibu
2,15,8,350,165,3693,11.5,70,USA,buick skylark 320
3,18,8,318,150,3436,11,70,USA,plymouth satellite
4,16,8,304,150,3433,12,70,USA,amc rebel sst
5,17,8,302,140,3449,10.5,70,USA,ford torino
6,15,8,429,198,4341,10,70,USA,ford galaxie 500
7,14,8,454,220,4354,9,70,USA,chevrolet impala
8,14,8,440,215,4312,8.5,70,USA,plymouth fury iii
9,14,8,455,225,4425,10,70,USA,pontiac catalina
10,15,8,390,190,3850,8.5,70,USA,amc ambassador dpl
11,15,8,383,170,3563,10,70,USA,dodge challenger se
12,14,8,340,160,3609,8,70,USA,plymouth 'cuda 340
13,15,8,400,150,3761,9.5,70,USA,chevrolet monte carlo
14,14,8,455,225,3086,10,70,USA,buick estate wagon (sw)
15,24,4,113,95,2372,15,70,Asia,toyota corona mark ii
16,22,6,198,95,2833,15.5,70,USA,plymouth duster
17,18,6,199,97,2774,15.5,70,USA,amc hornet
18,21,6,200,85,2587,16,70,USA,ford maverick
19,27,4,97,88,2130,14.5,70,Asia,datsun pl510
20,26,4,97,46,1835,20.5,70,Europe,volkswagen 1131 deluxe sedan
21,25,4,110,87,2672,17.5,70,Europe,peugeot 504
22,24,4,107,90,2430,14.5,70,Europe,audi 100 ls
23,25,4,104,95,2375,17.5,70,Europe,saab 99e
24,26,4,121,113,2234,12.5,70,Europe,bmw 2002
25,21,6,199,90,2648,15,70,USA,amc gremlin
26,10,8,360,215,4615,14,70,USA,ford f250
27,10,8,307,200,4376,15,70,USA,chevy c20
28,11,8,318,210,4382,13.5,70,USA,dodge d200
29,9,8,304,193,4732,18.5,70,USA,hi 1200d
30,27,4,97,88,2130,14.5,71,Asia,datsun pl510
31,28,4,140,90,2264,15.5,71,USA,chevrolet vega 2300
32,25,4,113,95,2228,14,71,Asia,toyota corona
33,19,6,232,100,2634,13,71,USA,amc gremlin
34,16,6,225,105,3439,15.5,71,USA,plymouth satellite custom
35,17,6,250,100,3329,15.5,71,USA,chevrolet chevelle malibu
36,19,6,250,88,3302,15.5,71,USA,ford torino 500
37,18,6,232,100,3288,15.5,71,USA,amc matador
38,14,8,350,165,4209,12,71,USA,chevrolet impala
39,14,8,400,175,4464,11.5,71,USA,pontiac catalina brougham
40,14,8,351,153,4154,13.5,71,USA,ford galaxie 500
41,14,8,318,150,4096,13,71,USA,plymouth fury iii
42,12,8,383,180,4955,11.5,71,USA,dodge monaco (sw)
43,13,8,400,170,4746,12,71,USA,ford country squire (sw)
44,13,8,400,175,5140,12,71,USA,pontiac safari (sw)
45,18,6,258,110,2962,13.5,71,USA,amc hornet sportabout (sw)
46,22,4,140,72,2408,19,71,USA,chevrolet vega (sw)
47,19,6,250,100,3282,15,71,USA,pontiac firebird
48,18,6,250,88,3139,14.5,71,USA,ford mustang
49,23,4,122,86,2220,14,71,USA,mercury capri 2000
50,28,4,116,90,2123,14,71,Europe,opel 1900
51,30,4,79,70,2074,19.5,71,Europe,peugeot 304
52,30,4,88,76,2065,14.5,71,Europe,fiat 124b
53,31,4,71,65,1773,19,71,Asia,toyota corolla 1200
54,35,4,72,69,1613,18,71,Asia,datsun 1200
55,27,4,97,60,1834,19,71,Europe,volkswagen model 111
56,26,4,91,70,1955,20.5,71,USA,plymouth cricket
57,24,4,113,95,2278,15.5,72,Asia,toyota corona hardtop
58,25,4,97.5,80,2126,17,72,USA,dodge colt hardtop
59,23,4,97,54,2254,23.5,72,Europe,volkswagen type 3
60,20,4,140,90,2408,19.5,72,USA,chevrolet vega
61,21,4,122,86,2226,16.5,72,USA,ford pinto runabout
62,13,8,350,165,4274,12,72,USA,chevrolet impala
63,14,8,400,175,4385,12,72,USA,pontiac catalina
64,15,8,318,150,4135,13.5,72,USA,plymouth fury iii
65,14,8,351,153,4129,13,72,USA,ford galaxie 500
66,17,8,304,150,3672,11.5,72,USA,amc ambassador sst
67,11,8,429,208,4633,11,72,USA,mercury marquis
68,13,8,350,155,4502,13.5,72,USA,buick lesabre custom
69,12,8,350,160,4456,13.5,72,USA,oldsmobile delta 88 royale
70,13,8,400,190,4422,12.5,72,USA,chrysler newport royal
71,19,3,70,97,2330,13.5,72,Asia,mazda rx2 coupe
72,15,8,304,150,3892,12.5,72,USA,amc matador (sw)
73,13,8,307,130,4098,14,72,USA,chevrolet chevelle concours (sw)
74,13,8,302,140,4294,16,72,USA,ford gran torino (sw)
75,14,8,318,150,4077,14,72,USA,plymouth satellite custom (sw)
76,18,4,121,112,2933,14.5,72,Europe,volvo 145e (sw)
77,22,4,121,76,2511,18,72,Europe,volkswagen 411 (sw)
78,21,4,120,87,2979,19.5,72,Europe,peugeot 504 (sw)
79,26,4,96,69,2189,18,72,Europe,renault 12 (sw)
80,22,4,122,86,2395,16,72,USA,ford pinto (sw)
81,28,4,97,92,2288,17,72,Asia,datsun 510 (sw)
82,23,4,120,97,2506,14.5,72,Asia,toyouta corona mark ii (sw)
83,28,4,98,80,2164,15,72,USA,dodge colt (sw)
84,27,4,97,88,2100,16.5,72,Asia,toyota corolla 1600 (sw)
85,13,8,350,175,4100,13,73,USA,buick century 350
86,14,8,304,150,3672,11.5,73,USA,amc matador
87,13,8,350,145,3988,13,73,USA,chevrolet malibu
88,14,8,302,137,4042,14.5,73,USA,ford gran torino
89,15,8,318,150,3777,12.5,73,USA,dodge coronet custom
90,12,8,429,198,4952,11.5,73,USA,mercury marquis brougham
91,13,8,400,150,4464,12,73,USA,chevrolet caprice classic
92,13,8,351,158,4363,13,73,USA,ford ltd
93,14,8,318,150,4237,14.5,73,USA,plymouth fury gran sedan
94,13,8,440,215,4735,11,73,USA,chrysler new yorker brougham
95,12,8,455,225,4951,11,73,USA,buick electra 225 custom
96,13,8,360,175,3821,11,73,USA,amc ambassador brougham
97,18,6,225,105,3121,16.5,73,USA,plymouth valiant
98,16,6,250,100,3278,18,73,USA,chevrolet nova custom
99,18,6,232,100,2945,16,73,USA,amc hornet
100,18,6,250,88,3021,16.5,73,USA,ford maverick
101,23,6,198,95,2904,16,73,USA,plymouth duster
102,26,4,97,46,1950,21,73,Europe,volkswagen super beetle
103,11,8,400,150,4997,14,73,USA,chevrolet impala
104,12,8,400,167,4906,12.5,73,USA,ford country
105,13,8,360,170,4654,13,73,USA,plymouth custom suburb
106,12,8,350,180,4499,12.5,73,USA,oldsmobile vista cruiser
107,18,6,232,100,2789,15,73,USA,amc gremlin
108,20,4,97,88,2279,19,73,Asia,toyota carina
109,21,4,140,72,2401,19.5,73,USA,chevrolet vega
110,22,4,108,94,2379,16.5,73,Asia,datsun 610
111,18,3,70,90,2124,13.5,73,Asia,maxda rx3
112,19,4,122,85,2310,18.5,73,USA,ford pinto
113,21,6,155,107,2472,14,73,USA,mercury capri v6
114,26,4,98,90,2265,15.5,73,Europe,fiat 124 sport coupe
115,15,8,350,145,4082,13,73,USA,chevrolet monte carlo s
116,16,8,400,230,4278,9.5,73,USA,pontiac grand prix
117,29,4,68,49,1867,19.5,73,Europe,fiat 128
118,24,4,116,75,2158,15.5,73,Europe,opel manta
119,20,4,114,91,2582,14,73,Europe,audi 100ls
120,19,4,121,112,2868,15.5,73,Europe,volvo 144ea
121,15,8,318,150,3399,11,73,USA,dodge dart custom
122,24,4,121,110,2660,14,73,Europe,saab 99le
123,20,6,156,122,2807,13.5,73,Asia,toyota mark ii
124,11,8,350,180,3664,11,73,USA,oldsmobile omega
125,20,6,198,95,3102,16.5,74,USA,plymouth duster
126,19,6,232,100,2901,16,74,USA,amc hornet
127,15,6,250,100,3336,17,74,USA,chevrolet nova
128,31,4,79,67,1950,19,74,Asia,datsun b210
129,26,4,122,80,2451,16.5,74,USA,ford pinto
130,32,4,71,65,1836,21,74,Asia,toyota corolla 1200
131,25,4,140,75,2542,17,74,USA,chevrolet vega
132,16,6,250,100,3781,17,74,USA,chevrolet chevelle malibu classic
133,16,6,258,110,3632,18,74,USA,amc matador
134,18,6,225,105,3613,16.5,74,USA,plymouth satellite sebring
135,16,8,302,140,4141,14,74,USA,ford gran torino
136,13,8,350,150,4699,14.5,74,USA,buick century luxus (sw)
137,14,8,318,150,4457,13.5,74,USA,dodge coronet custom (sw)
138,14,8,302,140,4638,16,74,USA,ford gran torino (sw)
139,14,8,304,150,4257,15.5,74,USA,amc matador (sw)
140,29,4,98,83,2219,16.5,74,Europe,audi fox
141,26,4,79,67,1963,15.5,74,Europe,volkswagen dasher
